Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class
BARIJAT,2024-10-10,,-0.0927451253143084,-0.026312852797614,,-5.050648693897896e-06,-0.0003649763229162,TS,45,988,-0.5841498535684486,-0.12685828045240125,-1.1133517073079737,-0.6081199471096078,0.7916021199219697,-0.18960057854440027,-0.3555040670104249,Weak,Moderate,Weak,Weak
TRAMI,2024-10-25,,-0.0278256526632944,-0.0175690897999689,,0.0012423974962386,0.0011208474475941,TS,70,978,0.05348266514760719,0.715620942657275,-0.4732149905879598,0.0986295390723075,-0.3639513565285533,0.6247728281762944,0.38455180390244115,Moderate,Weak,Moderate,Moderate
KONG-REY,2024-10-29,,-0.1336318000906421,-0.0432025148635642,,0.0020603449282329,0.0013326465749608,4,145,927,-0.9857346532433529,1.2680316539565422,1.4471951595720818,0.576497386761757,0.40853885299384407,0.9588055807261158,0.14114850035659465,Moderate,Moderate,Moderate,Moderate
YINXING,2024-11-07,,-0.0121708364164851,-0.01443703643884,,0.0024637121963291,0.0017269379172971,4,145,937,0.20724269285378008,1.5404506270690062,1.4471951595720818,1.0649628264982893,2.529253313008718,1.3575289758844948,0.8738466599613931,Strong,Extreme,Strong,Moderate
TORAJI,2024-11-10,,-0.0547990694111567,-0.029807237470192,,0.0012638493748802,0.000947298794796,1,90,970,-0.2114475161521425,0.7301087288836086,0.03889438278805132,0.18585186517317245,0.020173007745292557,0.6009233118118079,0.259330606365733,Moderate,Moderate,Moderate,Moderate
MAN-YI,2024-11-16,,-0.0772929076266204,-0.0236801972518887,,0.0010478728241965,0.000269945808538,5,160,921,-0.43237972849496054,0.5842463478547303,1.8312771896040902,0.6610479363212867,0.27810987589583325,0.44476103896134994,0.07593330967988488,Moderate,Moderate,Moderate,Moderate
USAGI,2024-11-13,,-0.0133598589772568,-0.0027786900313935,,0.0001746683475173,0.0002135755897243,4,145,915,0.19556423307468282,-0.00548287825942757,1.4471951595720818,0.5457588381291124,0.27508481661354084,0.02210161822255541,0.09504067740762763,Moderate,Moderate,Moderate,Moderate
REMAL,2024-05-26,,0.0132167512646796,-0.0065141871935301,,0.0019927315994672,0.0025106093499969,TS,60,978,0.45659702085775095,1.2223681729358797,-0.7292696772759654,0.31656517217255514,-1.2244184050354598,1.1173011987807562,0.8394825968968154,Moderate,Suppressed,Strong,Moderate
ASNA,2024-08-31,,0.1260724410723199,0.0154304117317551,,-0.0020611417774347,-0.0004155737877917,TS,50,988,1.5650542341552103,-1.515464343013809,-0.9853243639639709,-0.3119114909408566,-0.048862127947943715,-1.0928044336486504,0.02479494557070061,Weak,Weak,Suppressed,Moderate
DANA,2024-10-24,,0.004960611741681,0.000361626934135,,-0.0003284540485879,0.0040614252775235,1,75,985,0.37550605039931256,-0.3452726860535818,-0.345187647243957,-0.10498476096607541,-0.010436183906772138,-0.24637885769644838,0.015116682172865381,Weak,Weak,Weak,Moderate
FENGAL,2024-11-30,,-0.0196752240526406,-0.0059819494525366,,-0.0013485694788375,0.0023824437528645,TS,60,987,0.13353535367703895,-1.0342200051466583,-0.7292696772759654,-0.5433181095818616,0.6568420051046647,-0.873999132667881,-0.4503423257348097,Weak,Moderate,Weak,Weak
ALVARO,2024-01-01,,0.1801898114717698,0.0235386192538423,,0.0013227674370269,0.0002263262222851,TS,70,989,2.096589593038813,0.7698997562109732,-0.4732149905879598,0.7977581195539422,-1.3564657304257246,0.9519270974337122,1.433244674624893,Moderate,Suppressed,Moderate,Strong
BELAL,2024-01-14,,0.0402788393817598,0.0068958835915181,,0.0011219812089354,0.0003914955867843,2,100,968,0.722398123410918,0.6342963436436294,0.29494906947605687,0.5505478455102014,0.4001557706210537,0.6463842727758641,0.6783472335272738,Moderate,Moderate,Moderate,Moderate
ANGGREK,2024-01-28,,1.4397680414081633e-15,-3.969387077074079e-15,,4.9168566459770735e-17,-5.1912653456113326e-17,4,130,944,0.32678342173251645,-0.12344726364568126,1.0631131295400735,0.4221497625423029,0.2161693393723505,-0.06167374859996389,0.1016680790434176,Moderate,Moderate,Weak,Moderate
CANDICE,2024-01-26,,0.002743101985069,0.0015819551517476,,3.81067033181714e-05,8.24305587502912e-05,TS,60,982,0.3537258930190007,-0.09771143972615491,-0.7292696772759654,-0.15775174132770653,-0.18670357773085636,-0.03577236766333856,0.1280072266464229,Weak,Weak,Weak,Moderate
DJOUNGOU,2024-02-18,,8.356425344577449e-15,-5.936936621968454e-15,,3.9986683964468103e-19,-4.5712196656315924e-17,4,135,942,0.3267834217325844,-0.12344726364571419,1.1911404728840762,0.46482554365698214,0.24220192749802588,-0.06167374859998298,0.10166807904343511,Moderate,Moderate,Weak,Moderate
ELEANOR,2024-02-22,,0.0235387293607814,0.0060312553187867,,0.0012867769134397,0.0009066520033236,TS,60,992,0.5579784496153449,0.7455931199197345,-0.7292696772759654,0.19143396408637134,-0.950655217820971,0.719851609988864,0.6517857847675397,Moderate,Weak,Moderate,Moderate
