Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class,COCI_Scale_0_to_1,COCI_Score_100
KONG-REY,2024-10-29,-0.2333648696862482,0.000201343311795,-0.0092310338292326,-0.0063354821134975,-6.455693693913338e-07,0.0002329859363723,4,145,927,0.18998261299015418,0.08120560177183042,1.4339467850360572,0.568378333266014,0.3888694686976157,0.1275459269619228,0.1355941073809923,Moderate,Moderate,Moderate,Moderate,0.5776675075006511,57.76675075006511
YINXING,2024-11-07,-0.1131531078322858,-0.0010876381072349,-0.0005735846521266,-0.0136449937219784,0.0001649894551551,0.0004222107342974,4,145,937,-0.019766300212985356,0.4472040896550165,1.4339467850360572,0.6204615248260295,0.6129230439733198,0.24826904374540634,0.21371889472101557,Moderate,Moderate,Moderate,Moderate,0.590193740205462,59.0193740205462
TORAJI,2024-11-10,-0.0596582940519816,-0.0020511083932543,-0.0025502592459202,-0.008482352217331,-8.336812002246864e-05,-0.0002606273453281,1,90,970,-0.1765465628394084,-0.10158380849803555,0.032663935877814576,-0.08182214515320979,-0.009084832615039026,-0.13351885041927428,-0.13906518566872197,Weak,Weak,Weak,Weak,0.42129148188644505,42.12914818864451
MAN-YI,2024-11-16,-0.2052638773212578,-0.000777974025819,0.0017747858207188,-0.0046479576142021,-0.0001085579628405,-0.00030201336424,5,160,921,0.030623646124578473,-0.1572450094299157,1.816114834806487,0.5631644905003833,-0.22995893630224473,-0.07721068513737454,-0.06331068165266862,Moderate,Weak,Weak,Weak,0.5764135557781779,57.64135557781779
USAGI,2024-11-13,0.0087769892018485,0.0002803052041362,0.0014905941168605,-0.0027000671302422,3.556426229381916e-05,-0.000299797985845,4,145,915,0.20283165088822946,0.16121732437268743,1.4339467850360572,0.5993319200989914,0.5220268576710629,0.17894553184684217,0.18202448763045845,Moderate,Moderate,Moderate,Moderate,0.5851119789338517,58.51119789338517
REMAL,2024-05-26,-0.7296186689260615,-0.0166637979033932,0.0233699044524905,0.0216640225477511,-0.000181118288592,0.0068608105731613,TS,60,978,-2.5543897950818857,-0.3175792719544074,-0.731672163663045,-1.201213743566446,2.101339821251781,-1.270487665643451,-1.4359845335181465,Suppressed,Extreme,Suppressed,Suppressed,0.1520729637897348,15.207296378973481
ASNA,2024-08-31,-0.5152205209096188,0.0017985920845565,0.002742676147192,-0.0138476718797962,-0.0006880930722224,-0.0007077349931747,TS,50,988,0.4498941906558068,-1.4378254562159705,-0.9864508635099982,-0.6581273763567207,0.9745456500003488,-0.6336340069014607,-0.4939656327800818,Weak,Moderate,Weak,Weak,0.2826875826469628,28.26875826469628
DANA,2024-10-24,-0.6352300544361746,-0.0003925738816087,-0.0134920418807176,0.0256068010478736,-0.0013183602970056,0.0027571833668976,1,75,985,0.09333770871927638,-2.8305070577988207,-0.3495041138926152,-1.0288911543240533,0.9566519479240726,-1.5849137493574288,-1.3685846745397723,Suppressed,Moderate,Suppressed,Suppressed,0.1935172913835701,19.35172913835701
FENGAL,2024-11-30,-0.3978044844365982,-0.0002711227350575,-0.0063034584856415,-0.0114153703407035,2.8428503010209487e-05,-0.0010386861236768,TS,60,987,0.11310079111930167,0.1454496622179155,-0.731672163663045,-0.15770723677527596,-0.18917416960930283,0.13166865105156325,0.12927522666860858,Weak,Weak,Moderate,Moderate,0.4030407893306984,40.304078933069846
BELAL,2024-01-14,-0.0616469455156547,-0.0020128187031508,-0.0011036113306163,-0.0155409211866335,-7.295262113038046e-05,7.519876483769769e-05,2,100,968,-0.17031589049027673,-0.07856900920665978,0.2874426357247678,0.012852578675943768,-0.07154013156098189,-0.11765429263411453,-0.12444244984846825,Moderate,Weak,Weak,Weak,0.4440611622079966,44.40611622079966
ANGGREK,2024-01-28,0.2327312479620715,1.5643789134820257e-18,2.2454231818514533e-18,-0.0202456327094192,-2.6818618669766643e-18,6.03295293984916e-19,4,130,944,0.15721911445849523,0.08263209603956309,1.0517787352656274,0.4305433152545619,0.2522704028295776,0.11440706990380627,0.11992560524902916,Moderate,Moderate,Moderate,Moderate,0.5445175898637156,54.45175898637156
CANDICE,2024-01-26,0.1262027989902314,6.722133879542917e-05,-0.000479762087856,-0.0091798326078017,-7.382865325094247e-06,1.401320945091774e-06,TS,60,982,0.16815767613847082,0.06631841146115935,-0.731672163663045,-0.1657320253544716,-0.1715596263412671,0.10970317253714236,0.11723804379981509,Weak,Weak,Moderate,Moderate,0.401110792989478,40.1110792989478
DJOUNGOU,2024-02-18,-0.0291772077954952,4.681989446330308e-17,4.562955816338981e-18,-0.001164201630559,-3.8696790933355353e-20,-6.771938413337418e-20,4,135,942,0.15721911445850262,0.08263209603956893,1.179168085189104,0.4730064318957252,0.28282489261329974,0.11440706990381276,0.11992560524903578,Moderate,Moderate,Moderate,Moderate,0.5547301529668393,55.473015296683926
ELEANOR,2024-02-22,-0.0787704054583002,0.0010705800312221,0.0057669191043726,-0.015537528331547,4.783107056210181e-05,0.0002116639642414,TS,60,992,0.331428761495005,0.18832290358356601,-0.731672163663045,-0.07064016619482467,-0.3802878253555083,0.24928773354118605,0.2598758325392855,Weak,Weak,Moderate,Moderate,0.423980796161121,42.3980796161121
FILIPO,2024-03-14,0.113037764443419,0.0021914561510622,0.0032945319389711,-7.410484566258702e-05,-4.2151777395818e-05,-0.000993574103504,TS,70,990,0.5138228165999681,-0.010509356577397808,-0.4768934638160918,0.008806665402159483,-0.2400268993354256,0.2128625042645918,0.25165673001128513,Moderate,Weak,Moderate,Moderate,0.4430881025768005,44.30881025768005
NEVILLE,2024-03-21,-0.3967784697551266,0.0029408845867132,0.0076205825355494,-0.0214195374929864,1.3618819461990985e-05,0.0021736113787513,4,130,948,0.6357732168001744,0.11272517172903944,1.0517787352656274,0.6000923745982804,0.7872546884356166,0.33554997843374407,0.3742491942646069,Moderate,Moderate,Moderate,Moderate,0.5852948715280687,58.52948715280687
GAMANE,2024-03-27,-0.1668810959150022,-0.0026317210930627,-0.0080021061016244,-0.0086295123561319,-3.401781753601581e-05,-0.0004202166191479,2,100,970,-0.27102649946130913,0.007463997897216594,0.2874426357247678,0.007960044720225082,-0.075759100127796,-0.11117632936864878,-0.13178125078204628,Moderate,Weak,Weak,Weak,0.4428844866431955,44.28844866431955
HIDAYA,2024-05-03,-0.5473783800195058,-0.0058139698271211,0.0048943228956687,-0.025067192821825,-0.0007670185299912,0.0013235363277083,1,90,974,-0.7888564725366101,-1.6122245501382693,0.032663935877814576,-0.7894723622656882,-0.07842875656208971,-1.2614597696036967,-1.2005405113374397,Weak,Weak,Suppressed,Suppressed,0.25109854578446544,25.109854578446544
IALY,2024-05-21,-0.4933694592643469,0.0001936328628709,0.004841033105175,-0.0304768587205943,-4.536735010714265e-06,0.0001714806019665,TS,70,989,0.1887279337075347,0.07260741582102857,-0.4768934638160918,-0.0718527047625095,-0.12462912005426562,0.12207616385734324,0.13066767476428165,Weak,Weak,Moderate,Moderate,0.42368917539427764,42.36891753942776
KIRRILY,2024-01-25,-0.2439553057815615,0.0280237430332142,0.0311877599374526,-0.01592342343946,0.0011993258765945,0.001424689998729,TS,70,982,4.717369911298169,2.7327446466484457,-0.4768934638160918,2.324407031376841,-3.5529109373658527,3.5782190636624795,3.725057278973307,Extreme,Suppressed,Extreme,Extreme,1.0,100.0
LINCOLN,2024-02-16,0.1283149114916746,0.0072288748213371,0.0030763384997931,0.008158922316307,0.0007472447953061,0.0022496784175675,TS,45,990,1.3335344709654489,1.7337953445478838,-1.1138402134334748,0.6511632006932858,-3.416515296382231,1.5632793611159361,1.5336649077566662,Moderate,Suppressed,Strong,Strong,0.5975776259624972,59.75776259624972
MEGAN,2024-03-17,-0.2496944722882794,-0.0105869776867213,0.0011326108023562,0.0601446571721845,0.0003578475422726,-0.0009132366996465,2,105,957,-1.5655419983951966,0.8733565200584769,0.41483198564824436,-0.09245116422949179,-0.2871406764153013,-0.16564380900865697,-0.34609273916835986,Weak,Weak,Weak,Weak,0.4187351568536374,41.873515685363735
OLGA,2024-04-07,-0.3297800186299895,-0.0129579420702383,-0.0176438983152627,-0.0073150811491052,0.0001059401548868,0.0017715496804413,4,135,939,-1.9513560957468254,0.31672471386597617,1.179168085189104,-0.15182109889724846,-1.9275051565624601,-0.6495052008713781,-0.8173156909404247,Weak,Suppressed,Weak,Weak,0.4044564309337637,40.44564309337637
PAUL,2024-04-11,-0.436568468809078,7.736722415837749e-16,-4.190724641912096e-17,-0.0078519966918714,8.394881093573963e-19,1.0493601366967453e-18,TS,60,993,0.15721911445862088,0.08263209603957088,-0.731672163663045,-0.16394031772161774,-0.1754924541424124,0.11440706990386426,0.11992560524909587,Weak,Weak,Moderate,Moderate,0.4015417064200087,40.15417064200087
NAT,2024-02-06,-0.0685518308257933,-2.6926122276841785e-17,-6.731530569210607e-18,0.0010013406516328,1.618834945040267e-07,-1.498419748634415e-06,TS,50,993,0.15721911445849063,0.08298980488992728,-0.9864508635099982,-0.24874731472052677,-0.23695429591405037,0.11461239044837122,0.12010445967420896,Weak,Weak,Moderate,Moderate,0.3811452570553334,38.11452570553334
