Cyclone,Date,SST_Anomaly,MSLA_Anomaly
ISAAC,2024-09-28,-0.16851478963280755,-1.9919106289894736e-05
ISAAC,2024-09-29,-0.17039129290505314,-2.961695241797758e-06
ISAAC,2024-09-30,-0.1717951974291459,1.1302978580446706e-05
ISAAC,2024-10-01,-0.17226637196134817,2.0239589810324594e-05
ISAAC,2024-10-02,-0.1715090901910882,2.241633920613807e-05
ISAAC,2024-10-03,-0.17146593221997797,1.8945377993156885e-05
ISAAC,2024-10-04,-0.17051735481628727,1.2533000467955212e-05
JOYCE,2024-09-23,1.7602132206647592e-14,4.3848808468078257e-17
JOYCE,2024-09-24,1.7440391231022026e-14,4.256855128652853e-17
JOYCE,2024-09-25,1.748834458560448e-14,4.224848699114109e-17
JOYCE,2024-09-26,1.7307097160657238e-14,4.3848808468078257e-17
JOYCE,2024-09-27,1.7383497420500468e-14,4.2888615581915957e-17
JOYCE,2024-09-28,1.7360739896291846e-14,4.2888615581915957e-17
JOYCE,2024-09-29,1.746477429267412e-14,4.352874417269082e-17
JOYCE,2024-09-30,1.7328229147422386e-14,4.224848699114109e-17
JOYCE,2024-10-01,1.7328229147422386e-14,4.160835840036623e-17
JOYCE,2024-10-02,1.7321726997648494e-14,4.224848699114109e-17
JOYCE,2024-10-03,1.7250203350135683e-14,4.096822980959136e-17
JOYCE,2024-10-04,1.7159173253301192e-14,3.9687972628041633e-17
KIRK,2024-09-29,-0.05092119478730435,0.0006588118774981788
KIRK,2024-09-30,-0.05286061128409961,0.0006360376564198084
KIRK,2024-10-01,-0.053096941106628374,0.0006007277508399599
KIRK,2024-10-02,-0.051740228093185965,0.000563626546850048
KIRK,2024-10-03,-0.0531092462949486,0.0005352256299075024
KIRK,2024-10-04,-0.05397734357611953,0.0005236057361752405
KIRK,2024-10-05,-0.05227767112336918,0.0005327177166401957
KIRK,2024-10-06,-0.04623588371076476,0.0005624947639677191
KIRK,2024-10-07,-0.04584078282621737,0.0006103822259253002
KIRK,2024-10-08,-0.04315728903442042,0.0006725137346058082
KIRK,2024-10-09,-0.041713839118790695,0.0007451392627089229
KIRK,2024-10-10,-0.044393398926076647,0.0008252986843605653
LESLIE,2024-10-01,5.966648015829772e-15,2.0154627539778232e-08
LESLIE,2024-10-02,5.940452975760275e-15,2.3509571352519564e-11
LESLIE,2024-10-03,5.937542415752553e-15,-1.6060357671767607e-08
LESLIE,2024-10-04,5.9724691358452155e-15,-2.876965856556247e-08
LESLIE,2024-10-05,5.937542415752553e-15,-3.7347507587852826e-08
