Cyclone,Peak_Date,SST_Large,SST_Meso,SST_Submeso,MSLA_Large,MSLA_Meso,MSLA_Submeso,SST_Large_Std,SST_Meso_Std,SST_Submeso_Std,MSLA_Large_Std,MSLA_Meso_Std,MSLA_Submeso_Std,SST_Submeso_Grad_Avg
KONG-REY,2024-10-29,-0.2333648696862482,0.000201343311795,-0.0092310338292326,-0.0063354821134975,-6.455693693913338e-07,0.0002329859363723,0.0716153971657314,0.0162139020998685,0.0390059898623424,0.0042942027278962,0.0006933841470534,-0.004186898326145,0.004172680938547442
YINXING,2024-11-07,-0.1131531078322858,-0.0010876381072349,-0.0005735846521266,-0.0136449937219784,0.0001649894551551,0.0004222107342974,0.2043703143777488,0.0394831698822423,0.0565785883395737,0.0012297460859878,0.0007024882582787,-0.0020883867624141,0.004001839782170223
TORAJI,2024-11-10,-0.0596582940519816,-0.0020511083932543,-0.0025502592459202,-0.008482352217331,-8.336812002246864e-05,-0.0002606273453281,0.2266574225363671,0.0293631649082768,0.0054972297235988,-0.0030854798260342,-0.0005782952867391,-0.0015621960384114,0.004262030060983146
MAN-YI,2024-11-16,-0.2052638773212578,-0.000777974025819,0.0017747858207188,-0.0046479576142021,-0.0001085579628405,-0.00030201336424,0.4524318550797979,0.0456066667483791,0.0537065524243598,-0.0014058234568592,-0.0002760611248216,-0.0018323204844193,0.00421813593981709
USAGI,2024-11-13,0.0087769892018485,0.0002803052041362,0.0014905941168605,-0.0027000671302422,3.556426229381916e-05,-0.000299797985845,0.1638211582671651,0.0586327981015789,-0.0144587972219222,-0.0002968173130966,-0.0004059330503101,-0.0019957648636765,0.004130212252593947
REMAL,2024-05-26,-0.7296186689260615,-0.0166637979033932,0.0233699044524905,0.0216640225477511,-0.000181118288592,0.0068608105731613,0.0197028079562413,0.0423979289802492,-0.0625981578737779,0.0008681010123954,0.005933332654464,0.0007799116787968,0.0013532489814220595
ASNA,2024-08-31,-0.5152205209096188,0.0017985920845565,0.002742676147192,-0.0138476718797962,-0.0006880930722224,-0.0007077349931747,0.0088199549013217,0.0028501413621622,-0.0397454418824185,0.0062280327417122,0.0027348444263512,0.0029955345621705,0.003074426107289402
DANA,2024-10-24,-0.6352300544361746,-0.0003925738816087,-0.0134920418807176,0.0256068010478736,-0.0013183602970056,0.0027571833668976,-0.0591348377381631,-0.0531282131692883,-0.0081927044071136,0.0174439044671957,0.0137210285560962,0.0168422586994153,0.0026344081738520833
FENGAL,2024-11-30,-0.3978044844365982,-0.0002711227350575,-0.0063034584856415,-0.0114153703407035,2.8428503010209487e-05,-0.0010386861236768,0.0337522246020441,0.0445356003483296,0.0420271201675246,-0.0043384670857468,0.0001859342392287,-0.0014393139724181,0.002410347532847326
BELAL,2024-01-14,-0.0616469455156547,-0.0020128187031508,-0.0011036113306163,-0.0155409211866335,-7.295262113038046e-05,7.519876483769769e-05,-0.2110899845822116,0.0043922022798563,0.0085352085209928,-0.000656331035155,0.0013217687545813,-0.0011182977853458,0.003606035875632937
ANGGREK,2024-01-28,0.2327312479620715,1.5643789134820257e-18,2.2454231818514533e-18,-0.0202456327094192,-2.6818618669766647e-18,6.032952939849161e-19,0.1198190795604894,-0.0282875106935794,0.019619590467382,-0.0015869141876197,0.0004820317323776,-0.0002142209468482,0.0037947173659794815
CANDICE,2024-01-26,0.1262027989902314,6.722133879542917e-05,-0.000479762087856,-0.0091798326078017,-7.382865325094247e-06,1.401320945091774e-06,-0.1040885893088838,0.0102592678859441,0.0015188325894964,-0.0054018235988862,-0.0007561317099703,-0.0006069395097555,0.0035696899063297747
DJOUNGOU,2024-02-18,-0.0291772077954952,4.681989446330308e-17,4.562955816338981e-18,-0.001164201630559,-3.8696790933355353e-20,-6.771938413337418e-20,-0.0849363772583995,0.0002519711247341,0.0157929547286641,-0.0066393155349104,-0.0002110887487066,-0.0008529869166547,0.003282428062348134
ELEANOR,2024-02-22,-0.0787704054583002,0.0010705800312221,0.0057669191043726,-0.015537528331547,4.783107056210181e-05,0.0002116639642414,-0.04494185388154,-0.0156748918462351,0.0100086194516254,-0.0046601274755534,-0.0006511945341612,-7.190984775313353e-05,0.003448123635980982
FILIPO,2024-03-14,0.113037764443419,0.0021914561510622,0.0032945319389711,-7.410484566258702e-05,-4.2151777395818e-05,-0.000993574103504,0.0330564624488922,0.0199746817972,0.0102197081554039,-0.0078519467206454,0.000384114651135,0.0021633234270754,0.004542286285411809
NEVILLE,2024-03-21,-0.3967784697551266,0.0029408845867132,0.0076205825355494,-0.0214195374929864,1.3618819461990985e-05,0.0021736113787513,-0.1126295510855044,0.0028846589336219,0.0174283569686964,0.0074430362002668,0.0019495597511766,-0.0008332574101954,0.0035190927254525155
GAMANE,2024-03-27,-0.1668810959150022,-0.0026317210930627,-0.0080021061016244,-0.0086295123561319,-3.401781753601581e-05,-0.0004202166191479,0.1094270354823642,0.0636458692647506,0.0257947461572406,0.0019104993524458,0.0004413003365102,0.0007013473980732,0.0030838325738891635
HIDAYA,2024-05-03,-0.5473783800195058,-0.0058139698271211,0.0048943228956687,-0.025067192821825,-0.0007670185299912,0.0013235363277083,0.0184187616996781,0.0367248870234896,-0.0050403517166719,0.0010531269399897,-0.0003735147567005,0.0016725196640801,0.002694311132468569
IALY,2024-05-21,-0.4933694592643469,0.0001936328628709,0.004841033105175,-0.0304768587205943,-4.536735010714265e-06,0.0001714806019665,-0.0717989928744626,0.0297498966251692,0.0260681984067009,0.0025205778117504,0.0028524648498685,-0.0031195211001029,0.004155112817091643
KIRRILY,2024-01-25,-0.2439553057815615,0.0280237430332142,0.0311877599374526,-0.01592342343946,0.0011993258765945,0.001424689998729,-0.4333360248764834,-0.1059142532405224,-0.0025780193160356,0.0169084604597085,0.0045982275386384,0.0053433190021389,0.0035155834081184016
LINCOLN,2024-02-16,0.1283149114916746,0.0072288748213371,0.0030763384997931,0.008158922316307,0.0007472447953061,0.0022496784175675,-0.0462119437699313,-0.0405839791821081,-0.0294757501384916,-0.0064637767026421,-0.0017040383031906,-0.0049594329975934,0.004429121480546641
MEGAN,2024-03-17,-0.2496944722882794,-0.0105869776867213,0.0011326108023562,0.0601446571721845,0.0003578475422726,-0.0009132366996465,-0.030808784051215,-0.0580542966594371,0.0092711007618448,0.012972628467888,0.0056138305268773,-0.0004081449332984,0.0018163032117953074
OLGA,2024-04-07,-0.3297800186299895,-0.0129579420702383,-0.0176438983152627,-0.0073150811491052,0.0001059401548868,0.0017715496804413,-0.0672892873474438,-0.028451113359559,0.0041838892294536,-0.001490556668089,0.00169547135421,0.0051775659125043,0.0037681458150187366
PAUL,2024-04-11,-0.436568468809078,7.736722415837749e-16,-4.190724641912096e-17,-0.0078519966918714,8.394881093573964e-19,1.0493601366967453e-18,0.0144908678771842,0.0715680929513791,0.0235407395983588,0.0003860287647994,-0.0002509601860512,0.0003372108527952,0.001990247624170241
NAT,2024-02-06,-0.0685518308257933,-2.6926122276841785e-17,-6.731530569210607e-18,0.0010013406516328,1.618834945040267e-07,-1.498419748634415e-06,-0.0597557968269124,0.0061146155970595,-0.0042903021365747,0.0067865304853044,0.0005339906673878,-0.000208158056516,0.003459577791600056
OSAI,2024-02-07,-0.1729831625739279,2.5916124149758757e-17,-1.9977012365438894e-17,-0.0106169428939936,1.4876577712123533e-06,-2.90149078928146e-06,-0.1079136047175395,-0.0268139544209325,0.0072432997303051,0.0029397039263495,0.002753210331837,0.0011232861874577,0.0026158440309311365
ANCHA,2024-10-02,0.1474639767001164,1.856698959411565e-17,-7.994120519688555e-18,-0.0008477692507804,1.1552789017951571e-19,1.2836432242168757e-19,-0.0693461784731948,-0.0136721295939484,0.0157738678441934,-0.0028650388147337,0.0007538420190724,0.001848133815542,0.0034962943648954633
BHEKI,2024-11-17,0.4022596512701888,-9.277151510863452e-06,-0.0001075150367966,0.0102073950737155,-2.445693775356108e-06,-5.094348733828079e-06,-0.6173318368224061,0.0083176914606608,-0.0075973918314016,-0.0083381938445933,-0.0001369932829049,0.0007357640506153,0.003700005345618648
ROBYN,2024-11-28,-0.0384165529227296,-5.3931021148297374e-17,3.983541334817409e-17,-0.0191724135124135,-6.74779426172935e-19,1.9279412176369568e-19,0.0714433835960197,0.0065255820467832,-0.0273852153199877,0.0030030170792768,-0.0005561753084709,0.001001135072253,0.002457254077934904
CHIDO,2024-12-12,0.0070501626689036,0.0006163809666035,0.0015960107597954,0.003166614703731,0.0001195788720017,0.0002271796365205,0.0207382158458315,0.0274221745554525,0.0234648460279643,-0.0004215365033326,6.572181529674107e-05,0.0014810883523268,0.0041294427112157465
